key,woeid,yahoo_name
722477,803575,Battonya
722636,803308,Balmazujvaros
722882,802772,Alsozsolca
722978,802408,Alacska
723030,802296,Abony
723819,821782,Presov
724443,820323,Kosice
725578,840790,Yambol
725712,840682,Vratsa
725905,840533,Vidin
726050,840430,Varna
726418,840155,Tolbukhin
726848,839845,Stara Zagora
727011,839722,Sofia
727030,839710,Smolyan
727079,839671,Sliven
727221,839552,Silistra
727233,839546,Shumen
727337,839474,Sevlievo
727523,839334,Ruse
727696,839209,Razgrad
727921,839026,Provadiya
728193,838804,Plovdiv
728203,838798,Pleven
728330,838699,Pernik
728378,838661,Pazardzhik
728385,838656,Pavlikeni
728742,838364,Nova Zagora
728825,838305,Nesebur
729114,838082,Montana
729134,838068,Mezdra
729559,837744,Lovech
729730,837614,Kyustendil
730013,837392,Kozloduj
730435,837068,Haskovo
730496,837033,Kazanluk
730559,836997,Karnobat
730866,836786,Isperih
731549,836237,Gabrovo
732452,835532,Chirpan
732704,835362,Byala Slatina
732770,835315,Burgas
733191,834984,Blagoevgrad
733579,834722,Aytos
738618,2344457,Turhal
739251,2344413,Suluova
739634,2344388,Silivri
740205,2344356,Saray
740430,2344341,Safranbolu
741045,2344305,Orhangazi
741385,2333016,Mustafakemalpasa
741487,2344270,Mudanya
741609,2344263,Merzifon
741771,2344248,Malkara
741855,2344244,Arcadiopolis
743404,2328274,Kestel
743439,2344188,Kesan
743932,2344116,Istanbul
744168,2344154,Karamusal
744537,2344141,Karacabey
745026,2344118,Iznik
745169,2344108,Inegeul
745530,2323503,Hopa
746232,2344048,Gursu
746666,2320731,Golcuk
746958,2344007,Gemlik
747014,2344002,Gebze
747155,2343986,Fatsa
747471,2343971,Eregli
748893,2343903,Chorlu
749274,2314835,Cerkezkoy
749508,2343875,Caycuma
750317,2343837,Bulancak
751335,2343761,Bafra
753866,527811,Zamosc
756135,523920,Warsaw
757026,522308,Tarnow
757033,522297,Tarnobrzeg
757718,521081,Suwalki
759123,518258,Skierniewice
759412,517705,Siedlce
759734,517126,Rzeszow
760778,515150,Radom
761168,514387,Przemysl
762909,511110,Ostroleka
763166,510583,Olsztyn
763291,510395,Olecko
763534,509923,Nowy Sacz
765876,505477,Lublin
766027,505176,Lomza
767470,502438,Krosno
774558,489145,Chelm
776069,486134,Bialystok
776175,485969,Biala Podlaska
777019,865550,Vardo
777073,865409,Vadso
777682,863855,Skjervoy
779146,860905,Kvalsund
779330,860492,Kautokeino
779642,859430,Hasvik
